TRACT2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
48141000207,4613,1543,0.24115,0.05185,0.09095,86000,0.25294,0.23266,0.20998,0.07696,0.8786,0.13316,0.22374,0.0,0.11929,0.30891,0.63927,0.0525,0.0,0.1173,0.801,0.68,4,4,1.0
48141001114,5122,1841,0.24483,0.02662,0.07158,136500,0.13902,0.24009,0.17816,0.06365,0.8934,0.152,0.0,0.00508,0.16546,0.71056,0.801,0.10429,0.0,0.12222,0.837,0.708,4,4,1.0
48259970102,6036,1695,0.06247,0.03835,0.06303,277500,0.10167,0.31504,0.04012,0.03048,0.38237,0.07861,0.1314,0.00812,0.23199,0.14565,0.57136,0.00649,0.0,0.10796,0.353,0.414,2,2,1.0
48259970404,4124,1306,0.01513,0.0,0.00483,341000,0.01056,0.16386,0.1049,0.1501,0.24345,0.002,0.01774,0.02231,0.0731,0.2438,0.39248,0.02221,0.0,0.05743,0.175,0.308,1,1,1.0
48259970406,7446,2231,0.04317,0.01703,0.00162,478100,0.04351,0.15464,0.02824,0.05547,0.21005,0.02929,0.04263,0.00698,0.04902,0.11929,0.38491,0.00583,0.0,0.00672,0.051,0.192,1,1,1.0
48259970405,1990,895,0.06609,0.09944,0.04935,358700,0.02426,0.53184,0.05028,0.01307,0.23216,0.0,0.05821,0.01558,0.06965,0.26953,0.19439,0.14972,0.02331,0.11285,0.522,0.506,3,3,1.0
48259970403,5483,1815,0.02159,0.0,0.01243,545600,0.00339,0.33774,0.01873,0.0155,0.18019,0.00722,0.02326,0.0,0.01839,0.0642,0.43321,0.00716,0.0,0.00606,0.023,0.129,1,1,1.0
48259970101,1972,692,0.05984,0.03324,0.02585,255300,0.1612,0.30636,0.03757,0.01775,0.4143,0.05524,0.01577,0.00304,0.22072,0.13784,0.69707,0.0,0.0,0.05202,0.21,0.332,1,1,1.0
48029191505,2228,847,0.02693,0.03306,0.02065,398800,0.04062,0.5608,0.03306,0.02648,0.40575,0.01383,0.0,0.0,0.03089,0.06822,0.90046,0.00708,0.0,0.01653,0.106,0.253,1,1,1.0
48439111309,4356,1359,0.09794,0.0,0.05378,132100,0.20287,0.14643,0.21045,0.05831,0.5567,0.08411,0.0,0.06657,0.05756,0.34678,0.88766,0.03311,0.0,0.11258,0.454,0.47,2,2,1.0
48439105901,4243,1115,0.16969,0.0278,0.09007,83100,0.51225,0.09686,0.1991,0.07636,0.90101,0.24649,0.00176,0.0,0.02021,0.40537,0.89367,0.13812,0.00361,0.18386,0.831,0.704,4,4,1.0
48439123200,2600,1332,0.12667,0.01802,0.01639,87000,0.15637,0.08108,0.12462,0.01462,0.56923,0.04684,0.0,0.07692,0.112,0.73042,0.38733,0.02327,0.00617,0.08033,0.469,0.478,2,2,1.0
48439123600,2928,1288,0.37469,0.01242,0.03274,-1,0.25102,0.04658,0.10947,0.04508,0.67623,0.09227,0.0,0.13559,0.15263,0.87278,0.56842,0.23292,0.01846,0.19099,0.727,0.63,3,3,1.0
48113014306,6125,1786,0.09306,0.02632,0.07326,151400,0.39465,0.21501,0.12038,0.06302,0.81943,0.22722,0.0,0.0,0.03978,0.26188,0.95968,0.02296,0.08796,0.11198,0.705,0.616,3,3,1.0
48491020113,2716,840,0.1863,0.04524,0.06759,217200,0.08356,0.1381,0.15595,0.02283,0.40353,0.04295,0.0053,0.03093,0.11017,0.63526,0.87606,0.03333,0.00942,0.06548,0.675,0.596,3,3,1.0
48439111540,6577,2033,0.06355,0.0,0.01502,164200,0.20675,0.11854,0.18249,0.0561,0.74411,0.10486,0.0,0.0,0.04778,0.25057,0.89133,0.03542,0.0,0.02804,0.233,0.346,1,1,1.0
48439111541,3937,1257,0.13411,0.0,0.09095,147100,0.12281,0.10422,0.14558,0.09271,0.78766,0.021,0.0,0.00254,0.06543,0.40285,0.98662,0.02784,0.00049,0.06444,0.588,0.546,3,3,1.0
48439111542,5994,1782,0.02461,0.0,0.03017,194000,0.13778,0.11279,0.13861,0.04788,0.68452,0.08901,0.0,0.00117,0.04757,0.18824,0.67023,0.01796,0.0,0.03984,0.142,0.283,1,1,1.0
48029172004,7404,2308,0.02144,0.00737,0.08477,296200,0.04555,0.35442,0.12002,0.06659,0.63169,0.00362,0.02418,0.0,0.0541,0.052,0.07254,0.00953,0.00477,0.00737,0.353,0.414,2,2,1.0
48029181815,3259,1232,0.06749,0.00812,0.00419,218900,0.02588,0.24432,0.07224,0.11813,0.57809,0.02888,0.0,0.0,0.07229,0.2872,0.82681,0.06494,0.0,0.03328,0.298,0.385,2,2,1.0
