BG2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
482150235292,1326,317,0.21569,0.14511,0.0,269600,0.27471,0.14511,0.09464,0.06033,0.96078,0.19101,0.37396,0.0,0.12188,0.09804,0.6759,0.0,0.0,0.5205,0.543,0.509,3,3,1.0
482150235293,1597,317,0.60175,0.05994,0.0829,236300,0.71774,0.05994,0.03785,0.15529,1.0,0.33655,0.2776,0.0,0.0,0.07451,0.4858,0.11356,0.0,0.84227,0.794,0.662,4,4,1.0
482150235294,2686,607,0.33395,0.05931,0.1821,386100,0.34237,0.20593,0.26853,0.12584,0.9933,0.27002,0.4575,0.0,0.24125,0.05994,0.535,0.09885,0.0,0.61614,0.94,0.785,4,4,1.0
482150235303,2354,429,0.06967,0.0,0.11321,180700,0.29989,0.0,0.1049,0.15888,0.98811,0.15606,0.45688,0.0,0.21284,0.01997,0.43119,0.04429,0.0,0.44522,0.609,0.546,3,3,1.0
482150235304,5243,237,0.06478,0.02532,0.03546,153300,0.38121,0.14346,0.24473,0.0206,0.87545,0.13671,0.12752,0.83807,0.2047,0.07774,0.51678,0.0,0.0,0.46414,0.591,0.535,3,3,1.0
482150235311,826,243,0.0,0.0,0.1121,-1,0.0,0.25514,0.0,0.0,0.94189,0.12954,0.0,0.0,0.15331,0.34988,0.83624,0.09465,0.0,0.09465,0.35,0.407,2,2,1.0
482150235312,1436,435,0.08148,0.0,0.05106,139500,0.02234,0.12874,0.02299,0.04735,0.89485,0.13304,0.0,0.0,0.10309,0.30641,0.61649,0.0,0.0,0.0,0.109,0.244,1,1,1.0
482150235321,795,287,0.0,0.0,0.0,184200,0.02956,0.17073,0.33449,0.14717,0.83145,0.0,0.29179,0.0,0.12766,0.02642,0.84802,0.0,0.0,0.07666,0.228,0.335,1,1,1.0
482150235322,1717,444,0.27373,0.06306,0.09102,120000,0.02711,0.31306,0.14189,0.0,0.8509,0.0,0.0,0.0,0.0,0.04659,0.78829,0.0,0.0,0.00676,0.189,0.308,1,1,1.0
482150235331,1380,331,0.30725,0.0,0.04378,340100,0.10107,0.0,0.14804,0.05507,1.0,0.0023,0.03465,0.0,0.18069,0.21522,0.12624,0.0,0.0,0.02115,0.2,0.316,1,1,1.0
482150235342,4352,1157,0.08484,0.0,0.02718,268500,0.20102,0.17286,0.1936,0.03355,0.93911,0.097,0.04586,0.0,0.05242,0.27895,0.181,0.0,0.0,0.13829,0.33,0.397,2,2,1.0
482150235351,1787,533,0.0,0.0,0.0,277100,0.00252,0.17073,0.10507,0.0,0.50028,0.00783,0.0,0.0,0.07626,0.2272,0.65685,0.0,0.0,0.0,0.028,0.137,1,1,1.0
482150235361,1565,533,0.05112,0.0,0.0,172500,0.08086,0.06004,0.24015,0.02556,0.9508,0.12525,0.0,0.0,0.0,0.22109,0.74484,0.0,0.0,0.03002,0.112,0.247,1,1,1.0
482150235362,1187,451,0.04381,0.0,0.02006,-1,0.09056,0.08426,0.02661,0.0219,0.69503,0.04393,0.03808,0.0,0.09619,0.24684,0.4489,0.07539,0.0,0.07539,0.246,0.346,1,1,1.0
482150236012,1141,432,0.2638,0.20833,0.0,197400,0.40526,0.34028,0.46528,0.03155,0.97371,0.08778,0.0,0.0,0.0,0.53287,1.0,0.24769,0.0,0.25,0.913,0.758,4,4,1.0
482150236022,936,269,0.23888,0.07435,0.10782,189100,0.25538,0.15613,0.07435,0.07585,0.92842,0.18497,0.51887,0.20726,0.15409,0.06739,0.89308,0.0,0.0,0.20446,0.685,0.591,3,3,1.0
482150236024,1037,387,0.09257,0.02842,0.04464,253600,0.32124,0.43669,0.08269,0.18419,0.82449,0.02128,0.06452,0.0,0.10829,0.35487,0.42166,0.0,0.0,0.13695,0.673,0.584,3,3,1.0
482150237002,1050,363,0.49714,0.1708,0.11617,224800,0.37001,0.18182,0.11295,0.11524,1.0,0.2239,0.01699,0.0,0.11893,0.4619,0.69417,0.09366,0.0,0.23691,0.946,0.792,4,4,1.0
482150238033,3201,641,0.33146,0.0,0.06308,185700,0.39509,0.0936,0.39938,0.12902,1.0,0.20194,0.02044,0.0,0.06423,0.24211,0.49927,0.15601,0.0,0.28705,0.816,0.678,4,4,1.0
482150238034,2045,652,0.13605,0.0,0.02601,75200,0.13767,0.09049,0.10736,0.15257,0.97897,0.12522,0.0,0.0,0.0,0.30807,0.09049,0.0,0.0,0.04601,0.279,0.367,2,2,1.0
482150238041,817,207,0.36597,0.0628,0.30855,127700,0.47733,0.1401,0.29952,0.0,1.0,0.25214,0.0,0.0,0.13389,0.29743,0.60669,0.05797,0.0,0.58937,0.756,0.636,4,4,1.0
482150238042,1072,313,0.42724,0.03834,0.10262,254600,0.63473,0.13099,0.20447,0.04384,1.0,0.12,0.16294,0.0,0.0,0.50187,0.59105,0.19808,0.0,0.48562,0.896,0.744,4,4,1.0
482150238051,562,223,0.17794,0.08072,0.2201,85600,0.172,0.61435,0.06726,0.0,0.92705,0.05338,0.0,0.0,0.0,0.14769,1.0,0.0,0.0,0.10314,0.418,0.443,2,2,1.0
482150238052,1927,582,0.05968,0.02749,0.01262,485700,0.10094,0.39691,0.16667,0.09549,0.83394,0.02123,0.37931,0.0,0.08777,0.2958,0.42476,0.0,0.0,0.10653,0.57,0.524,3,3,1.0
482150238053,908,240,0.60573,0.05833,0.06515,84200,0.28112,0.2625,0.0,0.20374,1.0,0.29184,0.0,0.0,0.13357,0.5793,0.86643,0.05833,0.0,0.34583,0.866,0.719,4,4,1.0
482150239032,983,252,0.33514,0.05159,0.0815,345500,0.24448,0.19444,0.15476,0.08749,0.94812,0.10479,0.0,0.08952,0.24324,0.44581,0.91892,0.07937,0.0,0.19048,0.928,0.77,4,4,1.0
482150239034,794,340,0.43451,0.07647,0.24471,101900,0.17262,0.41176,0.20588,0.01889,0.84131,0.06932,0.0,0.0,0.15842,0.74307,0.94307,0.0,0.0,0.40294,0.774,0.648,4,4,1.0
482150239052,1677,461,0.16816,0.0,0.04762,96000,0.037,0.04989,0.36659,0.02982,0.87895,0.02459,0.0,0.0,0.078,0.2427,0.494,0.0,0.0,0.11497,0.201,0.317,1,1,1.0
482150239053,527,228,0.09867,0.17982,0.09787,702800,0.07368,0.53509,0.0,0.05313,0.59583,0.0,0.0,0.0,0.23746,0.1537,0.91304,0.0,0.0,0.04386,0.291,0.374,2,2,1.0
482150239061,772,227,0.1101,0.1674,0.0,113400,0.04645,0.2511,0.1674,0.18782,0.93782,0.09091,0.2511,0.0,0.0,0.0557,0.2511,0.1674,0.0,0.1674,0.76,0.639,4,4,1.0
482150239082,1095,388,0.03196,0.0,0.02482,401100,0.0,0.09021,0.13918,0.07671,0.91507,0.0,0.0,0.0,0.0,0.08219,0.04639,0.06186,0.0,0.0,0.192,0.31,1,1,1.0
482150239083,2871,949,0.05717,0.01475,0.00845,136700,0.02274,0.05796,0.05585,0.05016,0.91188,0.00403,0.0,0.0,0.0,0.6388,0.07482,0.0,0.0,0.0,0.126,0.26,1,1,1.0
482150240031,2159,542,0.0,0.0,0.14605,117600,0.187,0.08856,0.14945,0.02733,0.93979,0.07619,0.0,0.0,0.10708,0.22047,0.19605,0.04428,0.0,0.0,0.313,0.387,2,2,1.0
482150240041,2290,652,0.0,0.0,0.0,98900,0.12355,0.0,0.17025,0.16856,0.83319,0.03571,0.0,0.0,0.26577,0.74017,0.15203,0.0,0.0686,0.0,0.538,0.506,3,3,1.0
482150241071,1726,425,0.38818,0.03765,0.12305,-1,0.56598,0.11294,0.27765,0.10371,0.98725,0.29994,0.21099,0.0,0.06593,0.1292,0.54725,0.03059,0.0,0.36941,0.84,0.698,4,4,1.0
482150241072,1142,299,0.40018,0.02676,0.0,126700,0.7487,0.1204,0.13712,0.21804,1.0,0.34043,0.43963,0.0,0.0743,0.6042,0.60991,0.02676,0.0,0.13378,0.844,0.701,4,4,1.0
