BG2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
481851804001,0.10286,0.19298,0.0,-3277,-0.0,-204687,696,0.23615,0.06674,40.7,0.0,0.00185,0.30058,0.01589,0.28337,0.01589,0.01986,0.33333,0.42308,0.0,0.0,0.80702,1.93,0.0,0.18857,0.42308,0.06923,0.04631
484530368002,0.0,0.22388,0.01413,-67798,-0.45605,-494700,1855,0.01319,0.75063,38.9,0.0467,0.0,0.0,0.03657,0.06196,0.01401,0.52565,0.12604,0.38589,0.0,0.0,0.04809,3.27,0.0,0.00959,0.043,0.0,0.04626
484910205161,0.0,0.07416,0.04762,-44556,-0.24944,-447700,2271,0.0,0.68194,43.3,0.0,0.0,0.0,0.56496,0.14987,0.01931,0.52668,0.0427,0.47692,0.0,0.0,0.20449,4.17,0.0,0.01531,0.25385,0.0,0.0462
482015539012,0.00761,0.20937,0.11085,-45209,-0.36088,-190300,1361,0.0,0.5317,39.6,0.10191,0.0,0.0,0.00085,0.03128,0.0,0.41758,0.07163,0.38583,0.13544,0.18059,0.19284,3.26,0.0,0.07632,0.24409,0.0,0.04615
484930004042,0.01956,0.17954,0.03048,-67147,-0.26618,-352100,1326,0.02951,0.55776,42.9,0.12807,0.0,0.02873,0.02078,0.48839,0.01173,0.45202,0.0762,0.39324,0.17119,0.0,0.04384,3.42,0.00939,0.06149,0.10439,0.04626,0.0461
481210215121,0.0496,0.31707,0.03457,-77494,-0.34553,-622800,1431,0.01739,0.67262,46.6,0.0199,0.0086,0.04828,0.00728,0.03902,0.002,0.47884,0.03252,0.36226,0.02778,0.02381,0.06707,3.07,0.02439,0.05089,0.05923,0.0,0.04604
481130141591,0.02882,0.0,0.0,-42150,-0.24848,-565600,1483,0.02949,0.72622,31.6,0.10131,0.0,0.0,0.84366,0.11744,0.01942,0.48343,0.01515,0.29545,0.0,0.20482,0.02121,4.21,0.0,0.09741,0.0,0.07386,0.04599
481130131012,0.0,0.35543,0.01401,-119890,-0.52045,-710200,1343,0.02419,0.86471,54.7,0.1623,0.0,0.0,0.03471,0.04059,0.0,0.49588,0.04372,0.39915,0.0,0.09911,0.06206,2.32,0.03526,0.01674,0.0142,0.0,0.04593
481210201103,0.02082,0.18887,0.04845,-58594,-0.24789,-373200,3027,0.0235,0.64266,43.1,0.05556,0.0,0.13787,0.03939,0.19246,0.00586,0.52673,0.10961,0.46538,0.0,0.0,0.11804,3.0,0.0,0.04341,0.07536,0.0,0.04588
482015430075,0.04075,0.12217,0.02484,-52005,-0.46932,-364200,1688,0.03709,0.73173,29.0,0.0,0.00543,0.11874,0.13271,0.2966,0.00514,0.5108,0.0,0.39583,0.0,0.06944,0.0,4.27,0.0398,0.04567,0.04139,0.01946,0.04582
